,song_name,genres
153,cold as you,pop
153,cold as you,sad
154,the outside,country
154,the outside,pop
154,the outside,country pop
155,tied together with a smile,country
155,tied together with a smile,country pop
155,tied together with a smile,pop
156,stay beautiful,country
156,stay beautiful,pop
157,should've said no,country
157,should've said no,pop
158,mary's song,country
158,mary's song,pop
158,mary's song,country pop
159,our song,country
159,our song,pop
159,our song,fun
160,i'm only me when i'm with you,country
160,i'm only me when i'm with you,pop
161,invisible,country
161,invisible,sad
162,a perfectly good heart,country
162,a perfectly good heart,happy
163,teardrops on my guitar,pop
163,teardrops on my guitar,rock
163,teardrops on my guitar,country
163,teardrops on my guitar,pop rock
163,teardrops on my guitar,soft rock
163,teardrops on my guitar,country pop
